Year,State,Age 75+
2010,Alabama,53204
2010,Alaska,3910
2010,Arizona,70637
2010,Arkansas,35971
2010,California,383222
2010,Colorado,36154
2010,Connecticut,42552
2010,Delaware,10970
2010,District of Columbia,7489
2010,Florida,327732
2010,Georgia,84159
2010,Hawaii,17835
2010,Idaho,16213
2010,Illinois,132250
2010,Indiana,81635
2010,Iowa,37682
2010,Kansas,33373
2010,Kentucky,44993
2010,Louisiana,59084
2010,Maine,17981
2010,Maryland,64151
2010,Massachusetts,72425
2010,Michigan,129603
2010,Minnesota,56474
2010,Mississippi,37627
2010,Missouri,65573
2010,Montana,10543
2010,Nebraska,21427
2010,Nevada,24254
2010,New Hampshire,16001
2010,New Jersey,121952
2010,New Mexico,22902
2010,New York,239565
2010,North Carolina,107885
2010,North Dakota,8449
2010,Ohio,158351
2010,Oklahoma,43725
2010,Oregon,41486
2010,Pennsylvania,216060
2010,Rhode Island,14374
2010,South Carolina,47785
2010,South Dakota,10609
2010,Tennessee,74468
2010,Texas,263314
2010,Utah,24654
2010,Vermont,6891
2010,Virginia,86255
2010,Washington,60923
2010,West Virginia,26537
2010,Wisconsin,61272
2010,Wyoming,4765
2010,Guam,
2010,Puerto Rico,61694
2010,Virgin Islands of the U.S.,880
2011,Alabama,65638
2011,Alaska,4745
2011,Arizona,66633
2011,Arkansas,35504
2011,California,379353
2011,Colorado,39029
2011,Connecticut,48298
2011,Delaware,13654
2011,District of Columbia,8227
2011,Florida,300422
2011,Georgia,102972
2011,Hawaii,18074
2011,Idaho,17668
2011,Illinois,169126
2011,Indiana,74966
2011,Iowa,42128
2011,Kansas,37765
2011,Kentucky,52119
2011,Louisiana,61969
2011,Maine,19687
2011,Maryland,73366
2011,Massachusetts,83594
2011,Michigan,132303
2011,Minnesota,50953
2011,Mississippi,41050
2011,Missouri,88139
2011,Montana,12029
2011,Nebraska,21840
2011,Nevada,25580
2011,New Hampshire,17416
2011,New Jersey,108679
2011,New Mexico,24592
2011,New York,271642
2011,North Carolina,125141
2011,North Dakota,8998
2011,Ohio,155679
2011,Oklahoma,51210
2011,Oregon,44511
2011,Pennsylvania,187002
2011,Rhode Island,12901
2011,South Carolina,61188
2011,South Dakota,12082
2011,Tennessee,98505
2011,Texas,240079
2011,Utah,22650
2011,Vermont,6539
2011,Virginia,88559
2011,Washington,72466
2011,West Virginia,27474
2011,Wisconsin,70168
2011,Wyoming,5183
2011,Guam,887
2011,Puerto Rico,65007
2011,Virgin Islands of the U.S.,
2012,Alabama,72224
2012,Alaska,3875
2012,Arizona,72623
2012,Arkansas,36961
2012,California,408226
2012,Colorado,41302
2012,Connecticut,40892
2012,Delaware,12514
2012,District of Columbia,8540
2012,Florida,356480
2012,Georgia,96986
2012,Hawaii,14850
2012,Idaho,16641
2012,Illinois,150548
2012,Indiana,86122
2012,Iowa,43302
2012,Kansas,37220
2012,Kentucky,57649
2012,Louisiana,56405
2012,Maine,20419
2012,Maryland,73684
2012,Massachusetts,80186
2012,Michigan,119136
2012,Minnesota,61211
2012,Mississippi,37657
2012,Missouri,87896
2012,Montana,11523
2012,Nebraska,20045
2012,Nevada,26148
2012,New Hampshire,15776
2012,New Jersey,129061
2012,New Mexico,24971
2012,New York,310989
2012,North Carolina,113704
2012,North Dakota,11397
2012,Ohio,174709
2012,Oklahoma,53775
2012,Oregon,43636
2012,Pennsylvania,207669
2012,Rhode Island,12456
2012,South Carolina,63206
2012,South Dakota,8341
2012,Tennessee,84820
2012,Texas,274152
2012,Utah,22910
2012,Vermont,7796
2012,Virginia,89242
2012,Washington,75239
2012,West Virginia,31666
2012,Wisconsin,73305
2012,Wyoming,6144
2012,Guam,
2012,Puerto Rico,79270
2012,Virgin Islands of the U.S.,
2013,Alabama,81085
2013,Alaska,4689
2013,Arizona,78889
2013,Arkansas,37936
2013,California,482542
2013,Colorado,41096
2013,Connecticut,47158
2013,Delaware,12775
2013,District of Columbia,7574
2013,Florida,386405
2013,Georgia,102465
2013,Hawaii,15162
2013,Idaho,15917
2013,Illinois,187510
2013,Indiana,88328
2013,Iowa,44471
2013,Kansas,36843
2013,Kentucky,58067
2013,Louisiana,54961
2013,Maine,20921
2013,Maryland,78334
2013,Massachusetts,86487
2013,Michigan,144861
2013,Minnesota,69942
2013,Mississippi,43371
2013,Missouri,73676
2013,Montana,11313
2013,Nebraska,25617
2013,Nevada,29856
2013,New Hampshire,18565
2013,New Jersey,116532
2013,New Mexico,23881
2013,New York,247711
2013,North Carolina,148827
2013,North Dakota,9315
2013,Ohio,184547
2013,Oklahoma,51461
2013,Oregon,50780
2013,Pennsylvania,189052
2013,Rhode Island,14420
2013,South Carolina,77855
2013,South Dakota,11262
2013,Tennessee,81429
2013,Texas,314539
2013,Utah,23606
2013,Vermont,6576
2013,Virginia,84951
2013,Washington,80313
2013,West Virginia,30747
2013,Wisconsin,74433
2013,Wyoming,5895
2013,Guam,
2013,Puerto Rico,77058
2013,Virgin Islands of the U.S.,
2014,Alabama,64946
2014,Alaska,5001
2014,Arizona,81457
2014,Arkansas,44837
2014,California,477168
2014,Colorado,46227
2014,Connecticut,50805
2014,Delaware,12783
2014,District of Columbia,8364
2014,Florida,353565
2014,Georgia,118978
2014,Hawaii,18662
2014,Idaho,17126
2014,Illinois,185928
2014,Indiana,93549
2014,Iowa,44498
2014,Kansas,41044
2014,Kentucky,62173
2014,Louisiana,61192
2014,Maine,17632
2014,Maryland,73031
2014,Massachusetts,87570
2014,Michigan,143069
2014,Minnesota,78139
2014,Mississippi,45318
2014,Missouri,91108
2014,Montana,13270
2014,Nebraska,21969
2014,Nevada,34567
2014,New Hampshire,16888
2014,New Jersey,133846
2014,New Mexico,29467
2014,New York,310382
2014,North Carolina,124346
2014,North Dakota,9345
2014,Ohio,180923
2014,Oklahoma,54007
2014,Oregon,54355
2014,Pennsylvania,220220
2014,Rhode Island,15669
2014,South Carolina,66226
2014,South Dakota,11974
2014,Tennessee,86115
2014,Texas,285508
2014,Utah,24393
2014,Vermont,7740
2014,Virginia,105164
2014,Washington,73464
2014,West Virginia,32700
2014,Wisconsin,82288
2014,Wyoming,6156
2014,Guam,615
2014,Puerto Rico,90750
2014,Virgin Islands of the U.S.,
2015,Alabama,79725
2015,Alaska,5118
2015,Arizona,98118
2015,Arkansas,45673
2015,California,504983
2015,Colorado,44517
2015,Connecticut,47767
2015,Delaware,13217
2015,District of Columbia,8016
2015,Florida,410140
2015,Georgia,131546
2015,Hawaii,17602
2015,Idaho,17891
2015,Illinois,158531
2015,Indiana,75953
2015,Iowa,39929
2015,Kansas,37304
2015,Kentucky,61071
2015,Louisiana,76226
2015,Maine,21262
2015,Maryland,83580
2015,Massachusetts,106667
2015,Michigan,141785
2015,Minnesota,65012
2015,Mississippi,46290
2015,Missouri,92927
2015,Montana,10556
2015,Nebraska,25754
2015,Nevada,37216
2015,New Hampshire,15251
2015,New Jersey,125117
2015,New Mexico,29857
2015,New York,255521
2015,North Carolina,140355
2015,North Dakota,11024
2015,Ohio,184724
2015,Oklahoma,50418
2015,Oregon,58556
2015,Pennsylvania,211047
2015,Rhode Island,14998
2015,South Carolina,79186
2015,South Dakota,13576
2015,Tennessee,96323
2015,Texas,306863
2015,Utah,26188
2015,Vermont,8275
2015,Virginia,112830
2015,Washington,77682
2015,West Virginia,37041
2015,Wisconsin,67978
2015,Wyoming,6279
2015,Guam,
2015,Puerto Rico,91830
2015,Virgin Islands of the U.S.,
2016,Alabama,83527
2016,Alaska,5560
2016,Arizona,94167
2016,Arkansas,47009
2016,California,587713
2016,Colorado,45064
2016,Connecticut,51462
2016,Delaware,14166
2016,District of Columbia,6521
2016,Florida,408723
2016,Georgia,146116
2016,Hawaii,21685
2016,Idaho,21618
2016,Illinois,204727
2016,Indiana,92785
2016,Iowa,47150
2016,Kansas,40664
2016,Kentucky,65799
2016,Louisiana,78666
2016,Maine,22684
2016,Maryland,80033
2016,Massachusetts,95607
2016,Michigan,142892
2016,Minnesota,69479
2016,Mississippi,46137
2016,Missouri,99083
2016,Montana,13003
2016,Nebraska,24486
2016,Nevada,43044
2016,New Hampshire,19863
2016,New Jersey,114980
2016,New Mexico,26012
2016,New York,302293
2016,North Carolina,134709
2016,North Dakota,9535
2016,Ohio,173051
2016,Oklahoma,53539
2016,Oregon,49939
2016,Pennsylvania,213707
2016,Rhode Island,14142
2016,South Carolina,84539
2016,South Dakota,9957
2016,Tennessee,85365
2016,Texas,318203
2016,Utah,25689
2016,Vermont,8691
2016,Virginia,118194
2016,Washington,91082
2016,West Virginia,32407
2016,Wisconsin,82171
2016,Wyoming,7154
2016,Guam,
2016,Puerto Rico,82795
2016,Virgin Islands of the U.S.,1839
2017,Alabama,80589
2017,Alaska,5665
2017,Arizona,93480
2017,Arkansas,40562
2017,California,550337
2017,Colorado,54564
2017,Connecticut,52890
2017,Delaware,15828
2017,District of Columbia,8590
2017,Florida,399945
2017,Georgia,133565
2017,Hawaii,24685
2017,Idaho,22766
2017,Illinois,168555
2017,Indiana,99474
2017,Iowa,53402
2017,Kansas,43570
2017,Kentucky,74402
2017,Louisiana,66868
2017,Maine,20862
2017,Maryland,80270
2017,Massachusetts,94399
2017,Michigan,173351
2017,Minnesota,62334
2017,Mississippi,49954
2017,Missouri,82875
2017,Montana,12335
2017,Nebraska,25802
2017,Nevada,40804
2017,New Hampshire,16689
2017,New Jersey,133127
2017,New Mexico,30322
2017,New York,317473
2017,North Carolina,159053
2017,North Dakota,9752
2017,Ohio,175504
2017,Oklahoma,58374
2017,Oregon,50685
2017,Pennsylvania,203013
2017,Rhode Island,13407
2017,South Carolina,77649
2017,South Dakota,17027
2017,Tennessee,112435
2017,Texas,428971
2017,Utah,27057
2017,Vermont,8883
2017,Virginia,99561
2017,Washington,76188
2017,West Virginia,35432
2017,Wisconsin,65680
2017,Wyoming,5778
2017,Guam,
2017,Puerto Rico,88183
2017,Virgin Islands of the U.S.,
2018,Alabama,95594
2018,Alaska,5047
2018,Arizona,100833
2018,Arkansas,44505
2018,California,526326
2018,Colorado,50509
2018,Connecticut,56792
2018,Delaware,14961
2018,District of Columbia,7537
2018,Florida,403772
2018,Georgia,155379
2018,Hawaii,21918
2018,Idaho,23833
2018,Illinois,157006
2018,Indiana,101847
2018,Iowa,51319
2018,Kansas,43756
2018,Kentucky,79041
2018,Louisiana,78704
2018,Maine,23911
2018,Maryland,91942
2018,Massachusetts,91717
2018,Michigan,172309
2018,Minnesota,73746
2018,Mississippi,55226
2018,Missouri,94571
2018,Montana,16493
2018,Nebraska,29142
2018,Nevada,49071
2018,New Hampshire,19978
2018,New Jersey,142103
2018,New Mexico,34770
2018,New York,313856
2018,North Carolina,154807
2018,North Dakota,11030
2018,Ohio,207860
2018,Oklahoma,66210
2018,Oregon,57547
2018,Pennsylvania,220325
2018,Rhode Island,16795
2018,South Carolina,84400
2018,South Dakota,12028
2018,Tennessee,119423
2018,Texas,374839
2018,Utah,27290
2018,Vermont,8166
2018,Virginia,119646
2018,Washington,95597
2018,West Virginia,34847
2018,Wisconsin,84160
2018,Wyoming,6034
2018,Guam,1365
2018,Puerto Rico,85835
2018,Virgin Islands of the U.S.,
2019,Alabama,85551
2019,Alaska,5347
2019,Arizona,117830
2019,Arkansas,53718
2019,California,526171
2019,Colorado,52296
2019,Connecticut,52634
2019,Delaware,18060
2019,District of Columbia,8415
2019,Florida,493663
2019,Georgia,154893
2019,Hawaii,19399
2019,Idaho,28378
2019,Illinois,173452
2019,Indiana,111401
2019,Iowa,50110
2019,Kansas,47788
2019,Kentucky,76309
2019,Louisiana,74901
2019,Maine,19760
2019,Maryland,91604
2019,Massachusetts,93994
2019,Michigan,158399
2019,Minnesota,77989
2019,Mississippi,57072
2019,Missouri,97754
2019,Montana,11885
2019,Nebraska,27478
2019,Nevada,41096
2019,New Hampshire,18080
2019,New Mexico,35171
2019,New York,296292
2019,North Carolina,168386
2019,North Dakota,9489
2019,Ohio,193400
2019,Oklahoma,61350
2019,Oregon,50612
2019,Pennsylvania,232643
2019,Rhode Island,17344
2019,South Carolina,96147
2019,South Dakota,14424
2019,Tennessee,130539
2019,Texas,379853
2019,Utah,29219
2019,Vermont,9323
2019,Virginia,128233
2019,Washington,96877
2019,West Virginia,38350
2019,Wisconsin,64508
2019,Wyoming,7844
2019,Guam,
2019,Puerto Rico,101656
2019,New Jersey,
2019,Virgin Islands of the U.S.,
2020,Alabama,91141
2020,Alaska,6475
2020,Arizona,114652
2020,Arkansas,54150
2020,California,499304
2020,Colorado,68780
2020,Connecticut,53800
2020,Delaware,17845
2020,District of Columbia,7685
2020,Florida,475394
2020,Georgia,174030
2020,Hawaii,27456
2020,Idaho,22562
2020,Illinois,189594
2020,Indiana,104512
2020,Iowa,48343
2020,Kansas,49573
2020,Kentucky,69391
2020,Louisiana,92645
2020,Maine,24327
2020,Maryland,89252
2020,Massachusetts,86695
2020,Michigan,175407
2020,Minnesota,83088
2020,Mississippi,43514
2020,Missouri,92450
2020,Montana,15113
2020,Nebraska,28230
2020,Nevada,31884
2020,New Hampshire,18594
2020,New Jersey,149102
2020,New Mexico,35828
2020,New York,323804
2020,North Carolina,181084
2020,North Dakota,9894
2020,Ohio,195396
2020,Oklahoma,71732
2020,Oregon,67358
2020,Pennsylvania,261156
2020,Rhode Island,19367
2020,South Carolina,90509
2020,South Dakota,12983
2020,Tennessee,130639
2020,Texas,431881
2020,Utah,33429
2020,Vermont,7907
2020,Virginia,133606
2020,Washington,91266
2020,West Virginia,41826
2020,Wisconsin,86193
2020,Wyoming,7854
2020,Guam,
2020,Puerto Rico,99829
2020,Virgin Islands of the U.S.,
