Year,State,Non-Hispanic White
2010,Alabama,289665
2010,Alaska,18872
2010,Arizona,291100
2010,Arkansas,165347
2010,California,869730
2010,Colorado,140343
2010,Connecticut,152849
2010,Delaware,43645
2010,District of Columbia,4400
2010,Florida,1010666
2010,Georgia,457110
2010,Hawaii,12916
2010,Idaho,77181
2010,Illinois,489527
2010,Indiana,372665
2010,Iowa,160372
2010,Kansas,146158
2010,Kentucky,284288
2010,Louisiana,191602
2010,Maine,84789
2010,Maryland,212593
2010,Massachusetts,284391
2010,Michigan,535303
2010,Minnesota,235176
2010,Mississippi,148081
2010,Missouri,310093
2010,Montana,45366
2010,Nebraska,86060
2010,Nevada,112540
2010,New Hampshire,75587
2010,New Jersey,326031
2010,New Mexico,53992
2010,New York,765619
2010,North Carolina,443979
2010,North Dakota,31891
2010,Ohio,673061
2010,Oklahoma,184538
2010,Oregon,168702
2010,Pennsylvania,772409
2010,Rhode Island,54205
2010,South Carolina,202467
2010,South Dakota,37152
2010,Tennessee,413058
2010,Texas,791400
2010,Utah,109447
2010,Vermont,30785
2010,Virginia,371493
2010,Washington,310474
2010,West Virginia,153594
2010,Wisconsin,273938
2010,Wyoming,25848
2010,Guam,
2010,Puerto Rico,
2010,Virgin Islands of the U.S.,543
2011,Virgin Islands of the U.S.,
2011,Alabama,284875
2011,Alaska,23855
2011,Arizona,227015
2011,Arkansas,186001
2011,California,889558
2011,Colorado,150265
2011,Connecticut,169153
2011,Delaware,43856
2011,District of Columbia,4818
2011,Florida,903832
2011,Georgia,426559
2011,Hawaii,13322
2011,Idaho,86686
2011,Illinois,578289
2011,Indiana,399591
2011,Iowa,172228
2011,Kansas,160224
2011,Kentucky,299948
2011,Louisiana,217102
2011,Maine,94799
2011,Maryland,207404
2011,Massachusetts,299729
2011,Michigan,556242
2011,Minnesota,247708
2011,Mississippi,146712
2011,Missouri,381029
2011,Montana,51300
2011,Nebraska,95693
2011,Nevada,107291
2011,New Hampshire,80097
2011,New Jersey,324058
2011,New Mexico,49344
2011,New York,821790
2011,North Carolina,511518
2011,North Dakota,36647
2011,Ohio,680075
2011,Oklahoma,211167
2011,Oregon,229124
2011,Pennsylvania,733455
2011,Rhode Island,54048
2011,South Carolina,238621
2011,South Dakota,48243
2011,Tennessee,412878
2011,Texas,783676
2011,Utah,105214
2011,Vermont,35244
2011,Virginia,393227
2011,Washington,342380
2011,West Virginia,166459
2011,Wisconsin,300535
2011,Wyoming,28756
2011,Guam,
2011,Puerto Rico,
2012,Virgin Islands of the U.S.,
2012,Alabama,284260
2012,Alaska,24666
2012,Arizona,276986
2012,Arkansas,175548
2012,California,1012737
2012,Colorado,170054
2012,Connecticut,162533
2012,Delaware,44832
2012,District of Columbia,4704
2012,Florida,928698
2012,Georgia,406813
2012,Hawaii,11386
2012,Idaho,81714
2012,Illinois,603175
2012,Indiana,425666
2012,Iowa,198280
2012,Kansas,159367
2012,Kentucky,307282
2012,Louisiana,238247
2012,Maine,94265
2012,Maryland,227574
2012,Massachusetts,313862
2012,Michigan,562122
2012,Minnesota,243771
2012,Mississippi,148506
2012,Missouri,382314
2012,Montana,46904
2012,Nebraska,94170
2012,Nevada,90939
2012,New Hampshire,87777
2012,New Jersey,336586
2012,New Mexico,54077
2012,New York,673804
2012,North Carolina,480405
2012,North Dakota,39549
2012,Ohio,805528
2012,Oklahoma,238036
2012,Oregon,233456
2012,Pennsylvania,772844
2012,Rhode Island,63088
2012,South Carolina,251510
2012,South Dakota,38988
2012,Tennessee,461247
2012,Texas,839795
2012,Utah,112094
2012,Vermont,33265
2012,Virginia,397986
2012,Washington,330811
2012,West Virginia,178177
2012,Wisconsin,306567
2012,Wyoming,33218
2012,Guam,
2012,Puerto Rico,
2013,Virgin Islands of the U.S.,
2013,Alabama,319948
2013,Alaska,23558
2013,Arizona,295301
2013,Arkansas,192425
2013,California,928325
2013,Colorado,154932
2013,Connecticut,154792
2013,Delaware,51899
2013,District of Columbia,4747
2013,Florida,1001560
2013,Georgia,421234
2013,Hawaii,11870
2013,Idaho,83143
2013,Illinois,598626
2013,Indiana,439449
2013,Iowa,198547
2013,Kansas,161970
2013,Kentucky,320523
2013,Louisiana,230947
2013,Maine,95804
2013,Maryland,217427
2013,Massachusetts,321297
2013,Michigan,588457
2013,Minnesota,250702
2013,Mississippi,160699
2013,Missouri,286375
2013,Montana,49156
2013,Nebraska,106371
2013,Nevada,95692
2013,New Hampshire,87747
2013,New Jersey,355239
2013,New Mexico,53465
2013,New York,684025
2013,North Carolina,552453
2013,North Dakota,42135
2013,Ohio,732484
2013,Oklahoma,219415
2013,Oregon,228992
2013,Pennsylvania,771979
2013,Rhode Island,55627
2013,South Carolina,261282
2013,South Dakota,46795
2013,Tennessee,465650
2013,Texas,914316
2013,Utah,112641
2013,Vermont,35467
2013,Virginia,365162
2013,Washington,339407
2013,West Virginia,176384
2013,Wisconsin,292999
2013,Wyoming,30040
2013,Guam,185
2013,Puerto Rico,
2014,Virgin Islands of the U.S.,
2014,Alabama,314973
2014,Alaska,26389
2014,Arizona,294184
2014,Arkansas,207345
2014,California,1053350
2014,Colorado,182454
2014,Connecticut,162466
2014,Delaware,49844
2014,District of Columbia,6024
2014,Florida,976926
2014,Georgia,463324
2014,Hawaii,12285
2014,Idaho,77105
2014,Illinois,569119
2014,Indiana,452129
2014,Iowa,198602
2014,Kansas,170739
2014,Kentucky,364637
2014,Louisiana,210416
2014,Maine,94500
2014,Maryland,245726
2014,Massachusetts,366368
2014,Michigan,582090
2014,Minnesota,276122
2014,Mississippi,163078
2014,Missouri,381897
2014,Montana,56602
2014,Nebraska,104945
2014,Nevada,118297
2014,New Hampshire,86465
2014,New Jersey,365298
2014,New Mexico,59803
2014,New York,750461
2014,North Carolina,500059
2014,North Dakota,43992
2014,Ohio,794910
2014,Oklahoma,251224
2014,Oregon,218575
2014,Pennsylvania,864907
2014,Rhode Island,60491
2014,South Carolina,268584
2014,South Dakota,47446
2014,Tennessee,494716
2014,Texas,886383
2014,Utah,110546
2014,Vermont,36138
2014,Virginia,377595
2014,Washington,358762
2014,West Virginia,189341
2014,Wisconsin,331322
2014,Wyoming,29362
2014,Guam,257
2014,Puerto Rico,
2015,Virgin Islands of the U.S.,
2015,Alabama,321675
2015,Alaska,22331
2015,Arizona,292650
2015,Arkansas,213148
2015,California,1006756
2015,Colorado,164002
2015,Connecticut,161716
2015,Delaware,52906
2015,District of Columbia,4198
2015,Florida,1090636
2015,Georgia,454659
2015,Hawaii,13021
2015,Idaho,83640
2015,Illinois,603001
2015,Indiana,462635
2015,Iowa,185384
2015,Kansas,164531
2015,Kentucky,395332
2015,Louisiana,235682
2015,Maine,99400
2015,Maryland,247454
2015,Massachusetts,347134
2015,Michigan,614402
2015,Minnesota,261035
2015,Mississippi,191895
2015,Missouri,411118
2015,Montana,51033
2015,Nebraska,101647
2015,Nevada,119760
2015,New Hampshire,77088
2015,New Jersey,323988
2015,New Mexico,56935
2015,New York,711769
2015,North Carolina,532267
2015,North Dakota,42589
2015,Ohio,787197
2015,Oklahoma,238123
2015,Oregon,259321
2015,Pennsylvania,815246
2015,Rhode Island,53754
2015,South Carolina,266519
2015,South Dakota,49015
2015,Tennessee,475814
2015,Texas,937389
2015,Utah,113628
2015,Vermont,38811
2015,Virginia,408799
2015,Washington,336182
2015,West Virginia,197008
2015,Wisconsin,300177
2015,Wyoming,33137
2015,Guam,
2015,Puerto Rico,
2016,Alabama,357377
2016,Alaska,25274
2016,Arizona,317224
2016,Arkansas,227664
2016,California,1089028
2016,Colorado,183518
2016,Connecticut,177515
2016,Delaware,50844
2016,District of Columbia,5515
2016,Florida,1078292
2016,Georgia,547149
2016,Hawaii,16841
2016,Idaho,92119
2016,Illinois,606352
2016,Indiana,466833
2016,Iowa,201165
2016,Kansas,159516
2016,Kentucky,389579
2016,Louisiana,245574
2016,Maine,104529
2016,Maryland,246725
2016,Massachusetts,347276
2016,Michigan,646885
2016,Minnesota,294135
2016,Mississippi,161616
2016,Missouri,434373
2016,Montana,55022
2016,Nebraska,103173
2016,Nevada,137254
2016,New Hampshire,88905
2016,New Jersey,308122
2016,New Mexico,61473
2016,New York,754080
2016,North Carolina,554132
2016,North Dakota,43383
2016,Ohio,796809
2016,Oklahoma,241838
2016,Oregon,225314
2016,Pennsylvania,868642
2016,Rhode Island,65403
2016,South Carolina,291940
2016,South Dakota,43817
2016,Tennessee,505199
2016,Texas,930898
2016,Utah,124286
2016,Vermont,38859
2016,Virginia,444371
2016,Washington,390972
2016,West Virginia,201687
2016,Wisconsin,372517
2016,Wyoming,29466
2016,Guam,
2016,Puerto Rico,
2016,Virgin Islands of the U.S.,
2017,Virgin Islands of the U.S.,
2017,Alabama,349637
2017,Alaska,26365
2017,Arizona,305817
2017,Arkansas,214020
2017,California,1011073
2017,Colorado,189133
2017,Connecticut,164129
2017,Delaware,53597
2017,District of Columbia,8069
2017,Florida,996742
2017,Georgia,503366
2017,Hawaii,14645
2017,Idaho,87197
2017,Illinois,640767
2017,Indiana,480149
2017,Iowa,208004
2017,Kansas,175399
2017,Kentucky,388280
2017,Louisiana,250666
2017,Maine,105491
2017,Maryland,229055
2017,Massachusetts,357312
2017,Michigan,620041
2017,Minnesota,273580
2017,Mississippi,171797
2017,Missouri,388453
2017,Montana,53533
2017,Nebraska,118916
2017,Nevada,124919
2017,New Hampshire,83746
2017,New Jersey,369426
2017,New Mexico,52585
2017,New York,767126
2017,North Carolina,521059
2017,North Dakota,45112
2017,Ohio,803849
2017,Oklahoma,256784
2017,Oregon,245568
2017,Pennsylvania,797619
2017,Rhode Island,55866
2017,South Carolina,305355
2017,South Dakota,57282
2017,Tennessee,502972
2017,Texas,1003947
2017,Utah,119417
2017,Vermont,36968
2017,Virginia,412412
2017,Washington,361832
2017,West Virginia,206668
2017,Wisconsin,315610
2017,Wyoming,33054
2017,Guam,
2017,Puerto Rico,
2018,Virgin Islands of the U.S.,
2018,Alabama,353795
2018,Alaska,31642
2018,Arizona,299748
2018,Arkansas,237157
2018,California,977529
2018,Colorado,196161
2018,Connecticut,177182
2018,Delaware,58054
2018,District of Columbia,4946
2018,Florida,1172295
2018,Georgia,518200
2018,Hawaii,15643
2018,Idaho,107750
2018,Illinois,588807
2018,Indiana,524072
2018,Iowa,208724
2018,Kansas,193025
2018,Kentucky,410949
2018,Louisiana,271552
2018,Maine,106701
2018,Maryland,267218
2018,Massachusetts,319752
2018,Michigan,668486
2018,Minnesota,304736
2018,Mississippi,179633
2018,Missouri,409551
2018,Montana,63822
2018,Nebraska,112964
2018,Nevada,117990
2018,New Hampshire,103558
2018,New Jersey,403607
2018,New Mexico,61356
2018,New York,790602
2018,North Carolina,640927
2018,North Dakota,46134
2018,Ohio,897761
2018,Oklahoma,259750
2018,Oregon,281292
2018,Pennsylvania,828375
2018,Rhode Island,66802
2018,South Carolina,322264
2018,South Dakota,50049
2018,Tennessee,570886
2018,Texas,1196575
2018,Utah,143715
2018,Vermont,43467
2018,Virginia,410521
2018,Washington,413199
2018,West Virginia,217006
2018,Wisconsin,323315
2018,Wyoming,29574
2018,Guam,
2018,Puerto Rico,
2019,New Jersey,
2019,Virgin Islands of the U.S.,
2019,Alabama,337434
2019,Alaska,29203
2019,Arizona,303780
2019,Arkansas,224576
2019,California,937814
2019,Colorado,186081
2019,Connecticut,157389
2019,Delaware,58156
2019,District of Columbia,4951
2019,Florida,1080992
2019,Georgia,492629
2019,Hawaii,16401
2019,Idaho,105678
2019,Illinois,659380
2019,Indiana,493021
2019,Iowa,218948
2019,Kansas,180624
2019,Kentucky,398241
2019,Louisiana,236613
2019,Maine,107411
2019,Maryland,230907
2019,Massachusetts,305669
2019,Michigan,643523
2019,Minnesota,305944
2019,Mississippi,174799
2019,Missouri,385374
2019,Montana,52301
2019,Nebraska,117729
2019,Nevada,103883
2019,New Hampshire,92108
2019,New Mexico,57319
2019,New York,696255
2019,North Carolina,599635
2019,North Dakota,42623
2019,Ohio,854737
2019,Oklahoma,239955
2019,Oregon,227268
2019,Pennsylvania,822301
2019,Rhode Island,61198
2019,South Carolina,339418
2019,South Dakota,55148
2019,Tennessee,542689
2019,Texas,1023469
2019,Utah,142419
2019,Vermont,40056
2019,Virginia,408867
2019,Washington,374738
2019,West Virginia,202978
2019,Wisconsin,328864
2019,Wyoming,27970
2019,Guam,614
2019,Puerto Rico,
2020,Virgin Islands of the U.S.,
2020,Alabama,356750
2020,Alaska,25012
2020,Arizona,328702
2020,Arkansas,231851
2020,California,1001889
2020,Colorado,193596
2020,Connecticut,165603
2020,Delaware,53562
2020,District of Columbia,4785
2020,Florida,1172042
2020,Georgia,524128
2020,Hawaii,13638
2020,Idaho,94312
2020,Illinois,631920
2020,Indiana,482159
2020,Iowa,209698
2020,Kansas,183529
2020,Kentucky,379349
2020,Louisiana,263015
2020,Maine,105517
2020,Maryland,226910
2020,Massachusetts,320765
2020,Michigan,695941
2020,Minnesota,304628
2020,Mississippi,175894
2020,Missouri,399632
2020,Montana,61379
2020,Nebraska,113470
2020,Nevada,136642
2020,New Hampshire,87266
2020,New Jersey,309870
2020,New Mexico,54757
2020,New York,690196
2020,North Carolina,625030
2020,North Dakota,45774
2020,Ohio,841756
2020,Oklahoma,253329
2020,Oregon,252552
2020,Pennsylvania,815634
2020,Rhode Island,61591
2020,South Carolina,329483
2020,South Dakota,45605
2020,Tennessee,550422
2020,Texas,1000655
2020,Utah,144319
2020,Vermont,36608
2020,Virginia,413884
2020,Washington,362308
2020,West Virginia,203405
2020,Wisconsin,345580
2020,Wyoming,29929
2020,Guam,402
2020,Puerto Rico,
